experiment,worker,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,0,181,2906.8567444601085,-409.01912960794266,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,182,-1030.4533886438953,-413.1413654722165,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,183,-446.0222817510071,-417.7447696266879,-93.8112233624178,100.0,92.15,7.0,0.0,0.02,0.125
random_easy,0,184,-249.95450629845314,-410.27712929870574,-93.8112233624178,19.0,91.34,7.0,0.0,0.02,0.125
random_easy,0,185,154.2838003395347,-411.1500624719055,-93.8112233624178,100.0,91.34,7.0,0.0,0.02,0.125
random_easy,0,186,-1680.9212859631998,-415.6309502806826,-93.8112233624178,100.0,91.34,7.0,0.0,0.02,0.125
random_easy,0,187,-107.65025820306683,-404.8458366356067,-93.8112233624178,31.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,188,278.72561243974826,-411.8365578389232,-93.8112233624178,100.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,189,-5627.899572723269,-469.54755420876654,-93.8112233624178,100.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,190,-1016.0277664235175,-478.56539001062197,-93.8112233624178,100.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,191,87.34402148252452,-477.18875600331575,-93.8112233624178,100.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,192,70.17299017639388,-476.39028877266514,-93.8112233624178,100.0,90.65,7.0,0.0,0.02,0.125
random_easy,0,193,1946.4769818598543,-455.7170709553528,-93.8112233624178,100.0,91.59,7.0,0.0,0.02,0.125
random_easy,0,194,-393.4931767639189,-468.1636256375477,-93.8112233624178,100.0,91.59,7.0,0.0,0.02,0.125
random_easy,0,195,714.1504883499631,-463.4612516880035,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
