task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,160,1616,agent_1,13.692091941833496,5.384864807128906,33.33668534430646,0.17514492571353912,2.282504081726074,2.8129913806915283,0.3145740032196045,1.6782722473144531,50.3393440246582,-0.5983349680900574,-0.12125088274478912,0.0,active,0
task7_fixed_random_1,160,1617,agent_1,16.838624954223633,2.6507656574249268,30.19153818478226,0.7600826025009155,1.6507656574249268,4.168449401855469,-0.49867984652519226,2.180058479309082,53.15187072753906,-0.8470165729522705,-0.5050374269485474,0.0,active,0
task7_fixed_random_1,160,1618,agent_1,20.316120147705078,3.199699878692627,26.695878413265884,-0.12657852470874786,2.199699878692627,3.520554542541504,0.8719399571418762,2.0002670288085938,56.05575180053711,-1.6072958707809448,-0.6483726501464844,0.0,active,0
task7_fixed_random_1,160,1619,agent_1,24.296709060668945,4.10827112197876,22.70354910827305,-0.22917500138282776,3.1082711219787598,4.082963466644287,0.06784462183713913,26.12297248840332,82.1833267211914,-1.6118987798690796,-0.6483726501464844,0.0,active,0
task7_fixed_random_1,160,1620,agent_1,26.914817810058594,4.284292697906494,20.087194078348087,-0.08128471672534943,3.284292697906494,2.6240193843841553,-0.1572747528553009,16.305078506469727,98.51313781738281,-1.636634111404419,-0.6483726501464844,0.0,active,0
task7_fixed_random_1,160,1621,agent_1,29.674774169921875,5.4213056564331055,17.38342773540981,-0.4726342260837555,1.9651966094970703,2.984988212585449,0.32364943623542786,1.5712792873382568,100.41089630126953,-1.7413830757141113,-0.870106041431427,0.0,active,0
task7_fixed_random_1,160,1622,agent_1,29.741809844970703,5.469669818878174,17.32065405242168,-0.7099486589431763,1.888573408126831,0.08266043663024902,0.23421503603458405,-2.2129080295562744,98.5067367553711,-1.7962397336959839,-1.123995065689087,0.0,active,0
task7_fixed_random_1,160,1623,agent_1,31.16408920288086,8.277124404907227,16.403349168671852,-1.3656721115112305,0.0,3.1471705436706543,0.47688034176826477,-349.88458251953125,98.68290710449219,-2.0236546993255615,-150.9573211669922,-200.0,truncated,0
task7_fixed_random_1,180,1995,agent_1,9.127405166625977,23.416053771972656,37.21568748050033,0.5251117944717407,4.873250484466553,1.9442033767700195,-0.9522143006324768,9.454021453857422,10.360733985900879,-0.9067120552062988,0.0,0.0,active,0
task7_fixed_random_1,180,1996,agent_1,9.163660049438477,22.83806037902832,36.94679873902008,1.094883918762207,4.877237796783447,0.5791294574737549,-0.5559394955635071,0.1936340034008026,10.863436698913574,-1.2157807350158691,0.0,0.0,active,0
